"dtime_local per 10 minutes","95th percentile of rtt_max"
1688844000000,103.54372999999995
1688844600000,106.65161499999995
1688845200000,108.65928499999994
1688845800000,106.46351999999995
1688846400000,108.11045999999992
1688847000000,108.98855999999991
1688847600000,109.58078499999992
1688848200000,111.45981499999995
1688848800000,110.88542999999993
1688849400000,110.27982499999993
1688850000000,112.19494499999992
1688850600000,109.76498499999995
1688851200000,113.27048499999995
1688851800000,115.25491999999996
1688852400000,112.82489999999996
1688853000000,110.21287499999995
1688853600000,112.98097999999999
1688854200000,113.69513999999997
1688854800000,112.88599999999997
1688855400000,112.34245999999999
1688856000000,109.89753499999999
1688856600000,109.34730499999993
1688857200000,107.19853499999995
1688857800000,106.91662999999993
1688858400000,106.91915499999995
1688859000000,108.15881999999995
1688859600000,105.06620999999993
1688860200000,103.92052499999994
1688860800000,103.80728499999995
1688861400000,103.94568999999991
1688862000000,103.28108499999992
1688862600000,103.75269499999997
1688863200000,102.21024499999997
1688863800000,100.17211499999996
1688864400000,99.72850999999993
1688865000000,98.95248999999987
1688865600000,97.04593999999989
1688866200000,95.35227999999977
1688866800000,93.98639999999978
1688867400000,92.73938499999979
1688868000000,91.29621499999979
1688868600000,90.5540749999998
1688869200000,88.95035499999977
1688869800000,88.7006999999998
1688870400000,86.81816499999984
1688871000000,85.01506999999987
1688871600000,85.15540999999988
1688872200000,84.96956
1688872800000,82.96922
1688873400000,84.50276499999998
1688874000000,84.19641499999999
1688874600000,82.20940499999999
1688875200000,81.893575
1688875800000,81.86872499999996
1688876400000,80.72635499999998
1688877000000,82.11992499999998
1688877600000,81.86141499999997
1688878200000,81.18259999999995
1688878800000,82.60108499999993
1688879400000,80.55803499999995
1688880000000,79.77687499999995
1688880600000,80.08192499999994
1688881200000,79.96728499999995
1688881800000,79.53786999999997
1688882400000,80.92604999999996
1688883000000,79.72737499999995
1688883600000,79.03833999999998
1688884200000,79.47255999999997
1688884800000,79.25763499999998
1688885400000,79.20468999999997
1688886000000,80.62172999999997
1688886600000,80.46139999999997
1688887200000,80.02438499999997
1688887800000,82.04822499999995
1688888400000,82.41720999999995
1688889000000,83.00496999999994
1688889600000,85.62683999999994
1688890200000,86.11078999999995
1688890800000,85.65041999999997
1688891400000,88.45590499999994
1688892000000,87.03920499999994
1688892600000,88.24154499999996
1688893200000,91.77355499999993
1688893800000,91.49962499999994
1688894400000,91.91497999999996
1688895000000,92.66526999999994
1688895600000,91.24858499999993
1688896200000,91.11294999999993
1688896800000,94.01959999999991
1688897400000,91.19511499999993
1688898000000,93.63114499999993
1688898600000,94.51623499999994
1688899200000,93.34477999999994
1688899800000,92.64350999999994
1688900400000,94.07851999999993
1688901000000,92.97414999999995
1688901600000,93.35740999999996
1688902200000,94.82977999999996
1688902800000,91.96857999999996
1688903400000,92.46495999999995
1688904000000,91.17340999999995
1688904600000,89.17703499999995
1688905200000,88.02787499999994
1688905800000,88.68797999999994
1688906400000,86.14946999999995
1688907000000,87.42456999999996
1688907600000,87.36374499999997
1688908200000,86.02293499999998
1688908800000,86.53736499999997
1688909400000,88.11060499999995
1688910000000,89.37167999999997
1688910600000,90.15455499999996
1688911200000,90.51042499999996
1688911800000,91.43119999999993
1688912400000,94.08814999999994
1688913000000,95.54969499999993
1688913600000,95.27204999999996
1688914200000,95.17063999999993
1688914800000,94.81513999999994
1688915400000,94.49956999999992
1688916000000,92.69720499999995
1688916600000,93.75532499999996
1688917200000,95.88366499999994
1688917800000,95.17902499999994
1688918400000,93.20390499999993
1688919000000,90.88390999999993
1688919600000,92.11308999999994
1688920200000,96.06321999999994
1688920800000,98.25713999999994
1688921400000,99.72021999999994
1688922000000,99.08904999999996
1688922600000,98.39531999999996
1688923200000,96.79945499999992
1688923800000,99.24440999999992
1688924400000,101.25516999999992
1688925000000,102.51753999999994
1688925600000,101.65466499999992
1688926200000,98.83611499999992
1688926800000,97.8404849999999
1688927400000,97.33153499999989
1688928000000,100.33365499999987
1688928600000,102.19212499999986
1688929200000,103.8368999999999
1688929800000,102.8930299999999
1688930400000,102.23738999999986
1688931000000,103.8684199999999
1688931600000,106.7916949999999
1688932200000,108.25594499999987
1688932800000,107.47114999999991
1688933400000,107.82736999999996
1688934000000,108.19714999999995
1688934600000,110.45836999999992
1688935200000,110.45337499999988
1688935800000,110.28658999999989
1688936400000,111.03952999999994
1688937000000,110.28678999999995
1688937600000,108.30037499999993
