"dtime_local per 10 minutes","Average of rtt_max"
1688800200000,30.698874328887126
1688800800000,30.834960639549955
1688801400000,31.295300605074456
1688802000000,31.257243610962245
1688802600000,31.461198945623764
1688803200000,31.378208660298185
1688803800000,31.282818093094374
1688804400000,31.594445889499266
1688805000000,32.248946770959655
1688805600000,32.26769835402865
1688806200000,32.18041309335952
1688806800000,32.30950010241939
1688807400000,32.047508480604584
1688808000000,32.574338311259005
1688808600000,33.11629351644398
1688809200000,33.10707670501886
1688809800000,32.828886684334584
1688810400000,32.808488105023976
1688811000000,32.410438304800266
1688811600000,32.734280199048946
1688812200000,33.42474396702678
1688812800000,33.142528710649124
1688813400000,33.256758701925676
1688814000000,33.28240697109695
1688814600000,32.836279218348466
1688815200000,33.18823870384253
1688815800000,33.68244646657988
1688816400000,33.46735753432856
1688817000000,33.403574015573646
1688817600000,33.27845054511031
1688818200000,32.84430571636572
1688818800000,33.0324791642097
1688819400000,33.391063923537146
1688820000000,33.03307932020736
1688820600000,32.83338149358781
1688821200000,32.75823423752876
1688821800000,32.80708234736273
1688822400000,33.40766048681988
1688823000000,33.86610588454698
1688823600000,33.87945090248215
1688824200000,33.65286579860943
1688824800000,33.7328565505036
1688825400000,33.4904166139805
1688826000000,33.93485127991259
1688826600000,34.33910075657745
1688827200000,34.2365812029314
1688827800000,33.59647466179923
1688828400000,33.24912572930572
1688829000000,32.98121058236102
1688829600000,33.16551192661573
1688830200000,33.75202262739114
1688830800000,33.89630107504726
1688831400000,33.65721349617065
1688832000000,33.61911058291321
1688832600000,33.455974797275175
1688833200000,33.757342539974346
1688833800000,34.28518705498938
1688834400000,34.48750809850743
1688835000000,34.37768568732343
1688835600000,34.45179982228841
1688836200000,34.29509982022058
1688836800000,34.216079771092126
1688837400000,34.64375587858947
1688838000000,34.45018513212326
1688838600000,34.419751201753385
1688839200000,34.122410715248336
1688839800000,34.152137750439856
1688840400000,34.31886049643097
1688841000000,34.650767644131456
1688841600000,34.5430715315698
1688842200000,34.29215629891328
1688842800000,34.73054115367483
1688843400000,34.68160339135898
1688844000000,35.074941250967925
1688844600000,35.652876688447634
1688845200000,35.870682116886776
1688845800000,35.5516247270272
1688846400000,35.62793163335112
1688847000000,35.755079207108984
1688847600000,35.900722844197205
1688848200000,36.38501378697045
1688848800000,36.15220652804765
1688849400000,35.92066829595295
1688850000000,36.14573284984847
1688850600000,35.8504588104633
1688851200000,36.33478009393727
1688851800000,36.94374269712602
1688852400000,36.59203091198135
1688853000000,36.1071772938022
1688853600000,36.45774292750917
1688854200000,36.52130108994147
1688854800000,36.693554093026215
1688855400000,36.84360461117522
1688856000000,36.459161483660125
1688856600000,36.14037354219133
1688857200000,36.04047200358038
1688857800000,35.825904198925855
1688858400000,36.10609154803257
1688859000000,36.482208706677326
1688859600000,36.050353339703186
1688860200000,35.579465166306704
1688860800000,35.49635239002908
1688861400000,35.482195302997965
1688862000000,35.572593571524166
1688862600000,35.8821141009495
1688863200000,35.52667896752256
1688863800000,34.94395399549508
1688864400000,34.764079891614266
1688865000000,34.66174468479252
1688865600000,34.35352110494817
1688866200000,34.30640451580508
1688866800000,33.88624811215284
1688867400000,33.4941383946353
1688868000000,33.11572773387489
1688868600000,32.913643800546055
1688869200000,32.58024188679019
1688869800000,32.63905845123744
1688870400000,32.22470808908128
1688871000000,31.595236610505953
1688871600000,31.776336952230988
1688872200000,31.70216731079825
1688872800000,31.570995320246972
1688873400000,31.824557242768563
1688874000000,31.721647406959946
1688874600000,31.120276095548935
1688875200000,31.181016493024007
1688875800000,31.315578790567244
1688876400000,31.22213422222371
1688877000000,31.61073493251942
1688877600000,31.229128863232628
1688878200000,30.92674690509434
1688878800000,31.189204653502248
1688879400000,30.803603880663537
1688880000000,30.689451050743337
1688880600000,30.993474154847185
1688881200000,30.690702115523592
1688881800000,30.32721831931758
1688882400000,30.57093238889264
1688883000000,30.321717983969698
1688883600000,30.468526389888858
1688884200000,30.670846054775122
1688884800000,30.384248602457845
1688885400000,30.3321478976103
1688886000000,30.706193890242815
1688886600000,30.707006787884975
1688887200000,30.804292273086933
1688887800000,31.324333138348717
1688888400000,31.153774664851856
1688889000000,31.182213125316657
1688889600000,31.559185776348365
1688890200000,31.729098741473127
1688890800000,31.8548497039852
1688891400000,32.440737229394216
1688892000000,32.1106424913603
1688892600000,32.23310213307823
1688893200000,32.724828652816065
1688893800000,32.65023506001167
1688894400000,32.95940816473459
1688895000000,33.09608782772145
1688895600000,32.832291579017955
1688896200000,32.66493529709762
1688896800000,33.138785401072816
1688897400000,32.87280641712199
1688898000000,33.25636375489898
1688898600000,33.41042049925108
1688899200000,33.183898152847874
1688899800000,33.05690140844961
1688900400000,33.27969795441669
1688901000000,33.274513725513884
1688901600000,33.540162265162145
1688902200000,33.78382390308693
1688902800000,33.42328512870959
1688903400000,33.21109981853778
1688904000000,33.07955993678022
1688904600000,32.89986675581064
1688905200000,32.99027709402957
1688905800000,33.2034883968174
1688906400000,32.749577514877096
1688907000000,32.67703901289067
1688907600000,32.54292135482803
1688908200000,32.42229531264506
1688908800000,32.44278506792933
1688909400000,32.91219761569619
1688910000000,32.939341080692934
1688910600000,32.964783341987655
1688911200000,33.09292726234849
1688911800000,33.19446893245304
1688912400000,33.77788920600897
1688913000000,34.35513493702088
1688913600000,34.25005778842417
1688914200000,34.22038585302116
1688914800000,34.12469689554449
1688915400000,34.01084440479307
1688916000000,33.944179733265415
1688916600000,34.25852827150161
1688917200000,34.37604562845167
1688917800000,34.09231998789822
1688918400000,33.63615901895212
1688919000000,33.189589524736874
1688919600000,33.396831719938014
1688920200000,34.16853573860618
1688920800000,34.44791952466922
1688921400000,34.57105462516368
1688922000000,34.49205254320234
1688922600000,34.33261230834991
1688923200000,34.19563968434405
1688923800000,34.96101994904471
1688924400000,35.21062779240942
1688925000000,35.27356950469313
1688925600000,35.21489526938737
1688926200000,34.477857386124306
1688926800000,34.42109996485802
1688927400000,34.7422822946314
1688928000000,34.98516054775138
1688928600000,34.97816524117849
1688929200000,35.18105601033241
1688929800000,34.71255280446314
1688930400000,34.75287655750406
1688931000000,35.24753383929733
1688931600000,35.51704409592243
1688932200000,35.708058103237576
1688932800000,35.76127182813029
1688933400000,35.38969692703139
