Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,Whitebox Model
1000515,Charter,Cable,FL,South,-5,-4,400,400,400,20,SK Whitebox 8.0
1000521,Frontier,DSL,PA,Northeast,-5,-4,6,6,6,0.768,SK Whitebox 8.0
1000529,Frontier,DSL,MN,Midwest,-6,-5,12,12,12,1,SK Whitebox 8.0
1000537,Windstream,DSL,GA,South,-5,-4,15,15,15,1.5,SK Whitebox 8.0
1000549,Frontier,DSL,IL,Midwest,-6,-5,12,12,12,1,SK Whitebox 8.0
1000555,Frontier,Fiber,TX,South,-6,-5,50,50,50,50,SK Whitebox 8.0
1000559,Frontier,Fiber,OR,West,-8,-7,100,100,100,100,SK Whitebox 8.0
1000563,Frontier,Fiber,CA,West,-8,-7,100,100,100,100,SK Whitebox 8.0
1000567,Frontier,DSL,WI,Midwest,-6,-5,24,24,24,1,SK Whitebox 8.0
1000571,Frontier,DSL,WA,West,-8,-7,3,3,3,0.384,SK Whitebox 8.0
1000583,Frontier,DSL,FL,South,-5,-4,3,3,3,0.384,SK Whitebox 8.0
1000589,Frontier,DSL,MI,Midwest,-5,-4,3,3,3,0.384,SK Whitebox 8.0
1000597,Frontier,DSL,TX,South,-6,-5,3,3,3,0.384,SK Whitebox 8.0
1000726,Frontier,Fiber,OR,West,-8,-7,50,50,50,50,SK Whitebox 8.0
1000742,Windstream,DSL,MO,Midwest,-6,-5,12,12,12,0.768,SK Whitebox 8.0
1000748,Cincinnati Bell,DSL,OH,Midwest,-5,-4,30,30,30,3,SK Whitebox 8.0
1000766,Cincinnati Bell,Fiber,OH,Midwest,-5,-4,50,50,50,10,SK Whitebox 8.0
1000768,Cincinnati Bell,Fiber,OH,Midwest,-5,-4,50,50,50,10,SK Whitebox 8.0
1000772,Charter,Cable,OH,Midwest,-5,-4,200,200,200,10,SK Whitebox 8.0
1000776,Cincinnati Bell,Fiber,OH,Midwest,-5,-4,50,50,50,10,SK Whitebox 8.0
1000780,Cincinnati Bell,DSL,OH,Midwest,-5,-4,30,30,30,3,SK Whitebox 8.0
1000798,Frontier,Fiber,FL,South,-5,-4,50,50,50,50,SK Whitebox 8.0
1000848,Frontier,Fiber,CA,West,-8,-7,100,100,100,100,SK Whitebox 8.0
1000850,Frontier,Fiber,FL,South,-5,-4,150,150,150,150,SK Whitebox 8.0
1000852,Cincinnati Bell,Fiber,OH,Midwest,-5,-4,50,50,50,10,SK Whitebox 8.0
1000870,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
1000874,Frontier,Fiber,CA,West,-8,-7,100,100,100,100,SK Whitebox 8.0
1000890,Frontier,Fiber,TX,South,-6,-5,100,100,100,100,SK Whitebox 8.0
1000892,Frontier,Fiber,CA,West,-8,-7,75,75,75,75,SK Whitebox 8.0
1000896,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
1000900,Frontier,Fiber,CA,West,-8,-7,50,50,50,50,SK Whitebox 8.0
1000904,Frontier,DSL,WI,Midwest,-6,-5,3,3,3,0.768,SK Whitebox 8.0
1000906,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
1000914,Frontier,DSL,PA,Northeast,-5,-4,12,12,12,1,SK Whitebox 8.0
1000918,Frontier,DSL,OH,Midwest,-5,-4,12,12,12,1,SK Whitebox 8.0
1000922,Cincinnati Bell,Fiber,OH,Midwest,-5,-4,50,50,50,10,SK Whitebox 8.0
1000924,Cincinnati Bell,Fiber,OH,Midwest,-5,-4,50,50,50,10,SK Whitebox 8.0
1000930,Frontier,Fiber,WA,West,-8,-7,100,100,100,100,SK Whitebox 8.0
1000932,Frontier,DSL,OH,Midwest,-5,-4,24,24,24,1,SK Whitebox 8.0
1000954,Frontier,DSL,AZ,West,-7,-7,12,12,12,1,SK Whitebox 8.0
1000958,Frontier,Fiber,CA,West,-8,-7,100,100,100,100,SK Whitebox 8.0
1000962,Charter,Cable,FL,South,-5,-4,100,100,100,10,SK Whitebox 8.0
1000964,Frontier,Fiber,WA,West,-8,-7,100,100,100,100,SK Whitebox 8.0
1000972,Frontier,Fiber,TX,South,-6,-5,100,100,100,100,SK Whitebox 8.0
1001124,Cox,Cable,AZ,West,-7,-7,100,100,100,10,SK Whitebox 8.0
